stu_id,bynels2m,bynels2r,amind,asian,black,white,hispanic,urm,byses1,byincome,bypared,byrace,bypared_nohs,bypared_hs,bypared_attend2,bypared_grad2yr,bypared_4yrgrad,bypared_masters,bypared_phd,female,bydob_p,f1psepln,p_noplan,p_dontknow,p_votech,p_cc,p_fouryr,p_earlygrad,f2evratt,f2ps1sec
447314,40.189998626708984,22.3799991607666,0,0,0,1,0,0,0.38999998569488525,12,6,7,0,0,0,0,1,0,0,1,198605,4,0,0,0,1,0,0,1,4
172217,56.27000045776367,35.310001373291016,0,0,0,1,0,0,0.10000000149011612,11,4,7,0,0,0,1,0,0,0,0,198507,4,0,0,0,1,0,0,1,4
244111,31.6200008392334,14.600000381469727,0,0,1,0,0,1,-0.5,9,2,3,0,1,0,0,0,0,0,1,198601,5,0,0,0,0,1,0,1,7
275120,60.93000030517578,45.41999816894531,0,0,0,1,0,0,0.6299999952316284,11,7,7,0,0,0,0,0,1,0,1,198606,5,0,0,0,0,1,0,1,1
384207,58.130001068115234,31.290000915527344,0,0,0,1,0,0,0.4399999976158142,9,4,7,0,0,0,1,0,0,0,1,198608,5,0,0,0,0,1,0,1,2
450211,66.970001220703125,38.349998474121094,0,0,0,0,1,1,1.190000057220459,12,7,5,0,0,0,0,0,1,0,0,198603,5,0,0,0,0,1,0,1,2
327203,39.779998779296875,24.399999618530273,0,0,0,0,1,1,-0.3100000023841858,9,4,4,0,0,0,1,0,0,0,1,198603,4,0,0,0,1,0,0,1,4
230222,26.6299991607666,21.170000076293945,0,0,0,1,0,0,-0.8199999928474426,8,2,7,0,1,0,0,0,0,0,1,198509,NA,NA,NA,NA,NA,NA,NA,0,-3
424127,71.88999938964844,39.72999954223633,0,0,0,1,0,0,-0.009999999776482582,9,6,7,0,0,0,0,1,0,0,0,198512,5,0,0,0,0,1,0,1,1
413209,50.060001373291016,28.969999313354492,0,0,0,1,0,0,0.20000000298023224,9,6,7,0,0,0,0,1,0,0,0,198602,5,0,0,0,0,1,0,1,1
156213,24.18000030517578,18.059999465942383,0,0,0,1,0,0,0.6399999856948853,12,4,7,0,0,0,1,0,0,0,0,198508,NA,NA,NA,NA,NA,NA,NA,NA,NA
183120,37.11000061035156,38.599998474121094,0,0,0,1,0,0,-0.41999998688697815,8,2,7,0,1,0,0,0,0,0,0,198505,3,0,0,1,0,0,0,0,-3
107215,41.029998779296875,10.579999923706055,0,0,0,1,0,0,-0.5799999833106995,9,4,7,0,0,0,1,0,0,0,0,198412,3,0,0,1,0,0,0,0,-3
225222,27.84000015258789,11.770000457763672,0,0,1,0,0,1,-0.9700000286102295,8,2,3,0,1,0,0,0,0,0,0,198410,NA,NA,NA,NA,NA,NA,NA,0,-3
262207,42.630001068115234,13.75,0,0,0,0,1,1,0.029999999329447746,10,5,5,0,0,0,0,0,0,0,1,198512,1,1,0,0,0,0,0,0,-3
328210,18.670000076293945,13.300000190734863,0,1,0,0,0,0,-0.47999998927116394,9,3,2,0,0,1,0,0,0,0,1,198511,5,0,0,0,0,1,0,1,1
385209,39.900001525878906,31.90999984741211,0,0,0,1,0,0,0.6100000143051147,12,6,7,0,0,0,0,1,0,0,1,198604,5,0,0,0,0,1,0,NA,NA
159120,38.91999816894531,24.40999984741211,0,0,0,1,0,0,-0.7400000095367432,5,2,7,0,1,0,0,0,0,0,0,198601,5,0,0,0,0,1,0,1,2
304217,37.849998474121094,36.83000183105469,0,1,0,0,0,0,0.550000011920929,10,7,2,0,0,0,0,0,1,0,1,198606,2,0,1,0,0,0,0,1,4
111132,30.520000457763672,21.049999237060547,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,0,0,0,-3
325228,34.7400016784668,31.950000762939453,0,0,1,0,0,1,-1.350000023841858,3,2,3,0,1,0,0,0,0,0,0,198502,3,0,0,1,0,0,0,0,-3
233130,20.68000030517578,15.90999984741211,0,0,0,1,0,0,0.019999999552965164,7,4,7,0,0,0,1,0,0,0,0,198602,3,0,0,1,0,0,0,0,-3
425125,54,39.400001525878906,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,1,0,1,2
220213,31.1299991607666,24.940000534057617,0,0,1,0,0,1,-0.5199999809265137,3,5,3,0,0,0,0,0,0,0,1,198511,3,0,0,1,0,0,0,0,-3
342225,55.2400016784668,29.270000457763672,0,0,1,0,0,1,-0.41999998688697815,10,2,3,0,1,0,0,0,0,0,0,198602,5,0,0,0,0,1,0,1,2
451101,71.3499984741211,40.18000030517578,0,0,0,1,0,0,1.2999999523162842,13,7,7,0,0,0,0,0,1,0,0,198511,5,0,0,0,0,1,0,1,2
448128,50.77000045776367,37.15999984741211,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,1,0,1,2
138118,36.380001068115234,33.689998626708984,0,0,0,0,0,0,-0.05000000074505806,10,5,6,0,0,0,0,0,0,0,1,198512,5,0,0,0,0,1,0,1,4
